,Unnamed: 0,client_id,province,transaction_method,card_type,amount(eur),time,possible_fraud,hour,mean_amount,std_amount,z_score
1,1,user_1507,Almería,Physical Card,American Express,3705.81,2024-05-26 04:05:28.108159213,Y,4,3501.01,289.63093757401,0.7071067811865464
2,2,user_291,Cantabria,Online,Visa,3667.66,2024-05-04 04:27:39.601021083,Y,4,2924.2766666666666,937.8619831226055,0.7926361732440025
6,6,user_683,Pontevedra,Online,Visa,3155.47,2024-05-21 04:39:05.769121679,Y,4,3185.914285714286,1248.751537870551,-0.024379778355429895
10,10,user_442,Tarragona,Physical Card,Visa,4300.19,2024-05-27 03:01:20.665595159,Y,3,3458.7363636363634,705.9872871698573,1.191882136768826
12,12,user_1779,Salamanca,Online,Mastercard,3552.0,2024-05-03 02:57:44.195896757,Y,2,2486.442222222222,1596.6624390645145,0.6673657197084745
44,44,user_952,Murcia,Online,Mastercard,3889.33,2024-05-22 03:18:05.411742460,Y,3,3424.96,802.0559088160043,0.5789746012662675
55,55,user_458,Jaén,Contactless,Mastercard,651.87,2024-05-31 05:25:47.622199111,Y,5,2258.4745,1396.9307527669553,-1.1500960207352695
59,59,user_1064,Las Palmas,Online,Mastercard,4066.14,2024-05-27 05:50:09.813746809,Y,5,2440.8779999999997,1584.3942700324244,1.0257939142677786
61,61,user_1523,Murcia,Contactless,Mastercard,497.39,2024-05-06 04:13:21.890895338,Y,4,2385.8635,1361.0165758930073,-1.3875462896261284
62,62,user_512,Badajoz,Contactless,Visa,3975.67,2024-05-17 04:46:35.045854212,Y,4,3271.2825000000003,1112.7412342682323,0.6330200394373121
64,64,user_920,Santa Cruz de Tenerife,Contactless,Mastercard,1323.38,2024-05-13 03:33:52.977214711,Y,3,2503.0773684210526,1354.8792779753974,-0.8707029383340189
65,65,user_1648,Barcelona,Physical Card,Mastercard,1911.64,2024-05-24 04:13:25.975229271,Y,4,3093.7863636363636,1078.0448111676317,-1.09656514403699
80,80,user_1652,Asturias,Physical Card,Mastercard,93.75,2024-05-31 03:40:16.904604330,Y,3,3020.248461538461,1229.4314157761855,-2.3803673990963166
86,86,user_949,Sevilla,Contactless,Mastercard,1890.15,2024-05-02 04:16:37.938924080,Y,4,3023.5988888888887,1362.8037600601149,-0.8317036701152709
89,89,user_1768,Barcelona,Contactless,American Express,582.19,2024-05-12 05:09:39.635057199,Y,5,2949.38,1280.1330388576805,-1.8491749905246948
105,105,user_1421,Madrid,Contactless,Mastercard,2025.87,2024-05-10 04:16:25.685922284,Y,4,1889.526470588235,1320.9824361954115,0.10321373371507545
114,114,user_974,Toledo,Physical Card,Visa,4463.56,2024-05-20 04:42:01.395480760,Y,4,2429.985555555556,1833.1935685717365,1.109306992620985
118,118,user_143,Santa Cruz de Tenerife,Physical Card,Mastercard,2984.16,2024-05-20 03:11:16.978349248,Y,3,2807.225,1361.0418844226037,0.12999967306300883
121,121,user_1891,Guadalajara,Online,Mastercard,4400.95,2024-05-21 03:25:14.266805332,Y,3,2522.4900000000002,1629.2515434395023,1.1529588586636506
